;unit;pv_18;pv_frei;pv_wasser;DSO_consumption;DSO_feedin;wind_karholz;wind_winnberg03;wind_winnberg04;wind_erweiterung
unit;str;kVA;kVA;kVA;kVA;kVA;kVA;kVA;kVA;kVA
optimizeCap;bool;True;True;True;True;True;True;True;True;True
maximumCap;None or float;None;None;None;None;None;None;None;None;None
installedCap;kW;0;0;0;0;0;0;0;0;0
age_installed;year;0;0;0;0;0;0;0;0;0
lifetime;year;25;25;25;25;25;25;25;25;25
development_costs;currency;0;0;0;0;0;0;0;0;0
specific_costs;currency/kW;0;0;0;0;0;0;0;0;0
specific_costs_om;currency/kW/year;0;0;0;0;0;0;0;0;0
dispatch_price;currency/kWh;0;0;0;0;0;0;0;0;0
efficiency;factor;1;1;1;1;1;1;1;1;1
inflow_direction;str;DC bus 18;DC bus frei;DC bus wasser;DSO bus;AC bus;wind bus karholz;wind bus winnberg 03;wind bus winnberg 04;wind bus erweiterung
outflow_direction;str;AC bus;AC bus;AC bus;AC bus;DSO bus;AC bus;AC bus;AC bus;AC bus
energyVector;str;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity
type_oemof;str;transformer;transformer;transformer;transformer;transformer;transformer;transformer;transformer;transformer
